ACCELEROMETER X (m/s?),ACCELEROMETER Y (m/s?),ACCELEROMETER Z (m/s?),GRAVITY X (m/s?),GRAVITY Y (m/s?),GRAVITY Z (m/s?),LINEAR ACCELERATION X (m/s?),LINEAR ACCELERATION Y (m/s?),LINEAR ACCELERATION Z (m/s?),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (?T),MAGNETIC FIELD Y (?T),MAGNETIC FIELD Z (?T),ORIENTATION Z (azimuth ?),ORIENTATION X (pitch ?),ORIENTATION Y (roll ?),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (?),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.327,9.6045,-2.7637,-0.2852,9.1224,-3.5875,-0.8875,-0.041,0.4997,0.115,0.0341,0.0458,15,4.88,35.75,28.06,3.97,-68.53,175.4,2,63.518,658767.958,738129.281,894.33,NaN,11.5,14.303883,119.1,17 / 21,9,2021-07-11 18:17:13:963
-0.5796,6.1563,-4.893,-0.4314,9.0685,-3.7075,-0.1373,-0.025,-1.1761,0.0011,-0.0948,-0.1224,17,5.13,35.75,28.19,2.63,-67.65,173.57,2,62.417,658762.482,738129.376,894.47,NaN,11.5,15.16129,119.22,17 / 21,509,2021-07-11 18:17:14:463
0.4093,7.0146,-4.559,-0.3353,9.0216,-3.8297,1.1199,0.068,-1.7796,0,-0.1097,-0.016,19,4.5,36.38,27.94,2.05,-67.03,174.78,2,61.689,658757.006,738129.471,894.47,NaN,11.5,15.16129,119.22,17 / 21,1008,2021-07-11 18:17:14:962
-1.6765,10.2634,-5.1825,-0.5618,8.9665,-3.9318,-0.2551,0.003,-0.4811,0.0586,0.0053,0.0192,18,5.63,35.75,27,3.04,-66.17,171.85,2,66.53,658751.53,738129.567,894.94,NaN,11.5,13.580944,119.59,17 / 21,1509,2021-07-11 18:17:15:463
-0.6616,8.7811,-2.9352,-0.5235,8.9137,-4.0547,-0.3394,0.009,-0.4955,-0.0426,-0.0692,-0.0724,19,4.44,37.44,27.31,2.32,-65.32,172.92,2,65.82,658746.054,738129.662,894.94,NaN,11.5,13.580944,119.59,17 / 21,2009,2021-07-11 18:17:15:963
-1.0268,8.9564,-3.1852,-0.6651,8.913,-4.0356,-0.3252,-0.048,0.3973,0.0106,0.0543,-0.0011,19,4.56,36.69,27.94,0.53,-65.35,170.64,2,65.349,658740.592,738130.039,895.64,NaN,11.5,9.677419,118.49,17 / 21,2509,2021-07-11 18:17:16:463
-0.7513,8.9593,-4.2839,-0.6068,8.9273,-4.0129,-0.0109,0.057,-0.4196,-0.0256,0.0458,0.017,18,4.13,37.31,28.5,359.63,-65.52,171.34,2,65.257,658735.154,738130.59,895.64,NaN,11.5,9.677419,118.49,17 / 21,3009,2021-07-11 18:17:16:963
-1.016,8.7249,-4.2164,-0.7548,8.9341,-3.9726,-0.3358,0.0063,-0.4704,0.0021,0.0043,-0.0192,16,3.5,37.31,28.31,358.07,-65.68,169.38,2,64.002,658729.849,738131.954,895.88,NaN,11.5,12.587343,116.49,17 / 21,3509,2021-07-11 18:17:17:463
-0.7436,8.729,-3.5715,-0.7101,8.9483,-3.9487,-0.2802,-0.0037,-0.5623,-0.0138,0.0032,0.0138,14,3.38,36.38,28.38,357.16,-65.85,169.81,2,61.489,658724.545,738133.318,895.88,NaN,11.5,12.587343,116.49,17 / 21,4009,2021-07-11 18:17:17:963
-1.1789,9.3914,-3.43,-0.7413,8.9524,-3.9337,-0.4158,-0.007,0.2268,-0.033,-0.0415,-0.0138,8,4.19,36.19,27.81,358.46,-65.86,169.66,2,65.671,658719.241,738134.682,895.88,NaN,11.5,15.16129,116.42,17 / 21,4509,2021-07-11 18:17:18:463
